Creditability,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Sex...Marital.Status,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker
1,2,12,2,2,639,1,3,3,3,1,1,2,25,3,2,1,3,1,1,1
1,4,6,4,6,1517,5,3,3,2,1,3,3,40,1,2,2,3,1,2,1
0,1,9,2,3,2210,1,2,1,2,1,2,1,25,3,2,1,2,1,1,1
1,1,12,2,10,1927,1,5,2,3,1,3,2,29,1,2,2,3,1,1,1
1,4,20,4,3,896,5,3,4,3,1,4,2,24,3,2,1,2,1,1,1
1,2,24,3,2,1950,1,5,4,2,1,4,2,40,3,2,1,3,1,2,1
0,4,11,2,3,1206,1,5,2,3,1,4,3,55,3,2,1,2,1,1,1
1,1,6,4,5,846,1,1,2,2,1,2,3,24,2,2,2,3,1,1,1
1,3,24,1,2,2359,1,2,2,2,1,1,3,20,3,2,1,2,1,1,1
1,4,36,2,9,11862,1,5,1,3,1,4,2,36,3,2,1,4,1,2,1
0,1,45,3,9,5085,2,5,1,2,1,2,1,21,3,2,2,4,1,2,1
0,4,6,4,2,756,1,3,3,2,1,1,1,22,3,1,3,3,1,1,1
1,1,18,2,0,1163,1,5,3,3,1,3,2,39,3,2,1,2,1,2,1
1,2,12,3,1,1222,1,1,4,4,1,2,1,20,3,2,1,3,1,1,1
1,4,12,2,6,868,1,1,3,4,1,2,2,33,3,2,1,3,1,2,1
0,4,30,2,2,7173,2,5,4,1,1,4,3,35,3,2,1,4,2,2,1
1,3,36,1,6,5952,5,5,4,1,1,2,2,34,3,1,1,3,1,2,1
0,1,12,2,0,1481,1,4,2,3,1,1,3,36,1,2,1,3,1,1,1
1,4,24,4,3,3027,1,4,2,3,1,4,1,43,3,2,4,2,1,1,1
1,1,15,2,9,6468,1,3,3,3,1,4,3,39,3,2,2,4,1,2,1
1,1,9,2,1,1924,1,5,2,4,1,4,1,30,3,1,2,3,1,1,2
1,1,24,3,2,3650,2,2,4,2,1,2,1,30,3,1,2,3,1,1,1
1,4,9,2,3,1245,1,3,4,4,1,4,3,38,3,2,1,2,1,1,1
1,2,12,2,3,2606,5,3,2,3,1,4,3,54,3,2,1,4,1,2,1
1,4,12,2,2,3496,5,3,3,2,1,4,2,23,3,2,1,3,2,1,2
1,4,30,2,2,2577,1,4,1,2,1,3,3,34,3,2,1,2,1,1,1
1,2,21,1,2,589,1,1,4,3,1,4,3,28,3,2,1,3,1,1,1
0,1,60,2,4,6301,1,4,4,4,1,1,2,47,1,2,1,3,2,1,1
0,1,24,2,0,2975,2,2,4,3,1,3,4,24,1,2,1,3,1,1,1
0,2,10,3,1,2171,1,3,3,2,1,4,3,34,3,2,2,3,1,2,1
1,2,8,2,6,2394,1,3,1,3,1,2,1,28,3,2,1,3,2,1,1
1,2,15,4,6,1237,1,5,3,3,1,3,1,26,3,2,1,2,1,1,1
1,3,21,2,0,2605,1,3,2,3,1,4,3,36,1,2,1,3,1,2,1
1,4,18,2,3,1700,1,3,4,2,1,2,2,32,3,2,2,3,2,1,1
1,3,48,2,0,12038,5,3,4,4,1,2,3,26,3,2,1,3,2,1,1
0,1,8,2,2,1166,1,2,4,2,1,3,1,30,3,2,1,2,1,1,1
1,2,48,4,0,15662,1,5,1,2,1,3,4,29,3,2,1,4,1,2,1
1,1,6,2,1,1473,1,2,3,3,1,1,1,25,3,1,1,2,1,2,1
1,1,39,2,3,4281,4,3,1,1,1,2,2,23,3,2,1,3,1,1,1
1,2,30,2,3,12593,5,2,2,3,1,4,4,29,3,2,1,3,2,1,1
0,1,36,0,2,12677,1,3,4,3,1,2,3,26,3,2,1,3,1,1,1
1,1,12,2,2,1895,5,2,1,2,1,2,1,32,3,1,1,3,1,2,1
0,1,30,4,2,2748,1,2,4,3,1,2,1,43,2,2,1,2,1,1,1
1,4,24,2,9,1899,1,5,4,2,1,2,2,35,3,2,1,3,1,1,1
1,2,12,1,3,958,1,3,4,3,1,2,2,29,3,2,1,3,1,1,1
1,3,24,2,9,2677,1,2,4,1,1,4,3,32,1,1,2,2,1,1,1
0,2,21,2,3,1478,2,4,3,2,1,2,1,36,3,2,1,2,1,1,1
1,4,9,1,6,1208,3,2,3,4,1,1,3,34,3,2,1,3,1,2,1
1,3,6,4,9,1258,1,5,3,4,1,4,1,65,3,2,2,3,2,2,1
0,3,24,2,0,6194,2,5,4,3,1,2,1,22,3,1,2,3,1,2,1
1,1,12,2,2,1743,5,2,4,3,1,1,2,36,3,2,1,3,2,1,1
1,1,15,4,5,6974,1,1,1,3,1,3,3,32,3,3,1,3,1,2,1
1,2,24,2,2,1796,1,5,4,3,1,4,1,40,3,2,2,2,1,2,1
1,1,12,3,3,1049,1,5,4,3,1,2,2,25,3,2,1,3,1,1,1
1,4,18,4,9,2289,1,2,4,2,1,1,1,26,3,2,1,3,1,1,1
1,4,27,4,2,3917,1,5,2,3,1,2,3,66,3,3,2,3,1,2,1
0,2,24,2,3,1724,1,4,2,2,1,4,1,29,3,1,2,2,1,1,1
1,2,20,2,3,1845,1,5,4,3,1,1,1,31,1,1,2,3,1,2,1
0,3,24,2,2,3247,2,3,4,3,1,4,3,44,3,3,1,3,1,1,1
1,2,11,4,2,1374,1,3,2,3,1,4,4,23,3,3,1,3,1,1,1
1,4,24,2,9,3869,4,5,2,3,1,4,3,42,3,3,1,3,1,2,1
0,3,48,1,3,11647,1,1,1,3,1,1,2,27,3,2,1,3,1,1,1
1,2,20,2,9,1574,1,2,3,3,1,3,1,27,3,1,2,2,1,1,1
0,2,6,2,1,6560,1,3,1,3,1,4,3,28,3,1,1,2,1,1,2
0,4,24,4,0,2302,5,3,4,2,1,4,1,55,3,2,2,3,1,2,1
1,4,18,4,3,1435,1,2,4,3,1,1,1,27,3,3,1,4,1,2,1
0,1,12,2,3,1573,1,3,4,3,1,2,1,35,3,1,2,3,1,2,1
1,4,24,4,0,2957,5,2,2,4,1,1,2,30,3,2,2,3,1,1,1
0,3,24,2,0,6844,5,5,2,1,1,4,4,26,3,2,1,3,1,1,1
1,3,48,4,6,3847,4,3,4,2,1,4,3,43,1,2,2,3,1,1,1
0,1,45,2,3,3574,4,2,4,3,1,2,3,26,3,2,1,3,1,2,1
0,4,48,4,8,2241,1,3,4,3,1,4,4,48,3,3,1,3,1,2,1
1,3,9,2,2,792,1,2,4,3,2,2,1,20,3,1,1,3,1,1,1
0,2,48,2,0,9018,1,2,3,4,1,2,4,23,3,2,1,3,1,2,1
0,2,21,2,0,2624,1,1,4,3,1,2,2,30,3,1,1,3,1,1,1
0,1,24,2,3,3521,1,3,3,3,1,2,4,27,3,3,1,3,1,1,1
1,4,4,3,9,385,1,3,2,3,1,4,2,51,1,1,4,3,2,2,1
0,1,24,4,2,4734,1,5,4,2,1,3,2,42,3,2,2,4,1,2,1
1,2,36,2,0,14864,1,2,4,4,1,4,2,35,3,1,1,3,1,2,1
1,2,36,2,3,1532,5,3,4,3,1,3,2,40,3,2,1,3,2,1,1
0,1,12,2,3,1409,2,4,4,3,1,2,2,35,3,2,2,3,2,1,1
1,4,12,1,3,2995,1,3,4,2,3,4,4,30,1,2,1,4,1,1,1
1,1,6,4,2,1055,5,3,1,3,1,2,1,27,3,1,1,1,1,1,2
0,1,21,2,3,9125,1,5,1,2,1,4,3,33,3,2,2,2,1,1,1
0,2,18,4,2,1953,1,2,4,3,1,4,3,27,3,2,1,3,1,2,1
1,1,24,2,3,2329,2,3,2,3,1,4,2,30,3,2,2,3,1,2,1
1,1,15,2,0,2246,2,5,4,3,1,2,2,36,3,2,1,4,1,1,1
0,2,8,3,2,349,1,4,4,3,1,4,3,45,1,2,2,3,1,2,1
1,4,24,4,2,5815,1,4,1,2,1,2,3,28,3,2,2,3,1,1,1
1,2,21,2,3,2468,5,4,4,3,3,4,3,30,3,2,1,3,1,1,1
0,2,10,2,0,2206,1,2,2,2,3,2,1,31,3,2,1,3,1,1,1
0,4,24,4,5,1189,2,2,3,3,1,2,2,44,2,2,1,3,1,2,1
1,2,9,4,2,2293,5,2,2,2,1,1,1,39,3,2,1,3,1,1,1
1,2,12,3,3,1601,5,5,4,4,1,4,2,29,3,1,2,4,1,2,1
1,1,12,4,2,1845,1,3,4,2,1,1,1,32,3,2,2,3,2,1,1
1,2,6,2,0,1123,1,4,4,3,1,1,2,40,3,1,2,3,2,1,1
1,4,12,4,9,1345,3,5,4,2,1,4,1,54,1,2,2,4,1,1,1
1,2,6,4,0,1007,1,3,2,2,1,4,3,31,3,2,1,4,1,1,1
1,4,11,2,0,2670,1,4,4,2,1,4,1,26,3,2,1,3,1,2,1
0,1,11,4,0,481,1,3,4,3,1,4,1,43,1,1,1,2,2,1,2
1,2,9,2,9,1204,1,3,4,3,1,1,3,24,3,2,2,2,2,1,1
0,2,18,4,2,1369,1,3,3,3,1,4,1,34,3,2,2,1,1,1,1
1,2,18,1,0,1300,1,5,4,3,1,3,4,59,3,3,1,4,1,2,1
1,2,7,2,0,1409,1,5,2,3,1,4,2,36,3,2,2,3,1,1,1
1,4,24,2,2,3017,1,5,2,3,2,2,1,35,3,2,1,3,2,1,1
1,4,6,2,6,1055,1,3,1,4,3,2,1,34,3,2,2,2,1,1,1
1,4,6,2,0,481,1,3,2,3,1,2,3,35,3,3,2,3,1,1,1
0,1,60,2,3,4782,2,5,2,3,1,3,4,40,3,3,1,3,2,2,1
1,2,24,2,5,14656,1,3,2,4,1,3,2,35,1,2,1,3,1,2,1
1,2,12,4,0,4280,1,2,1,3,1,2,4,31,3,2,1,2,1,1,1
1,2,11,2,2,1961,1,1,4,3,1,1,2,51,3,2,2,3,1,2,1
1,1,10,4,1,1282,1,2,1,3,1,3,2,31,3,1,2,2,1,1,1
1,1,9,2,5,508,1,5,4,3,1,4,4,38,3,2,1,2,1,2,1
1,4,27,2,2,4693,5,4,4,4,1,4,2,32,3,2,1,2,1,1,1
0,2,33,4,3,4141,2,4,4,3,1,4,3,42,3,2,4,3,1,2,1
1,2,36,4,3,1245,3,4,4,3,1,4,3,28,1,2,3,2,2,1,1
0,1,24,1,1,2359,2,3,4,2,1,4,4,30,1,2,1,3,2,1,1
1,4,6,4,0,1190,2,4,2,3,1,4,3,63,3,2,2,3,1,1,1
1,4,12,4,3,1193,1,3,4,4,1,1,1,29,3,2,2,2,1,1,1
0,2,12,2,5,1808,2,3,4,3,1,3,3,40,3,2,1,3,1,1,1
0,1,27,2,8,1513,1,4,4,3,2,4,2,74,3,3,1,3,1,2,1
1,4,24,2,9,3832,4,3,2,3,1,2,2,37,3,2,1,2,1,1,1
1,1,36,2,3,2328,4,3,2,4,1,1,1,33,3,2,2,2,1,1,1
1,4,6,2,2,3959,1,2,2,2,1,3,3,31,3,2,1,4,1,2,1
1,4,6,2,2,1245,5,5,4,2,1,3,1,27,3,2,1,2,1,1,1
1,2,24,4,2,3148,1,5,4,2,1,4,4,61,3,3,1,3,1,1,1
1,2,48,2,0,6468,1,1,4,3,1,4,4,36,3,2,1,3,1,2,1
1,2,18,2,1,2825,5,2,2,2,1,2,2,25,3,2,1,3,1,1,1
0,1,48,2,0,9246,5,3,2,3,1,3,3,20,3,2,1,2,1,1,1
1,4,15,4,1,2100,4,3,2,3,1,2,1,32,2,2,1,3,1,2,1
0,4,12,1,0,1845,1,2,4,2,1,3,2,24,3,1,1,4,1,2,1
1,4,24,4,1,2964,1,5,4,1,1,4,4,64,3,2,2,3,1,2,1
1,1,36,1,2,3393,1,3,4,2,1,4,4,25,3,2,1,3,1,1,1
0,1,24,4,2,2579,1,2,4,4,1,2,4,37,1,2,1,3,1,1,1
1,4,12,2,8,624,5,3,2,3,1,4,1,46,1,2,1,2,1,1,1
1,1,12,4,0,2653,4,5,2,2,1,4,1,51,3,2,2,3,1,2,1
1,1,24,4,3,6227,4,5,3,4,3,4,2,45,3,1,2,3,1,2,1
1,1,24,2,6,3238,5,2,4,2,1,4,4,42,3,2,1,3,1,2,1
0,1,9,2,3,2245,1,1,3,2,1,2,2,21,3,1,1,3,1,2,1
1,2,9,1,2,1924,1,4,1,3,1,2,3,33,2,2,2,3,1,1,1
0,4,30,4,0,1884,1,3,1,2,1,2,2,42,3,2,1,2,1,1,1
1,1,9,4,0,2575,1,4,2,2,1,4,3,47,3,3,2,3,2,1,1
1,4,18,4,3,4030,1,3,2,3,1,3,3,49,3,2,3,3,1,2,1
1,4,24,4,3,1220,1,1,3,4,1,1,3,25,1,2,2,2,1,1,1
0,4,24,1,5,1481,1,4,3,2,1,2,1,27,3,1,1,3,1,1,1
1,1,30,2,9,3594,1,3,2,3,1,4,3,39,1,2,1,4,1,2,1
1,4,30,3,3,2205,5,5,4,3,1,4,3,53,1,3,1,3,1,1,1
1,1,10,4,0,594,2,3,4,3,1,3,1,20,3,1,2,3,1,1,1
1,2,12,2,0,3662,1,2,3,4,2,4,1,27,3,1,1,4,1,1,1
1,3,18,4,3,10148,2,2,3,2,1,4,3,46,3,2,1,3,1,2,1
1,1,45,3,0,3017,2,1,4,3,2,3,1,23,3,2,1,2,1,1,1
1,2,12,2,1,958,1,1,2,3,2,1,3,22,3,2,1,1,1,1,1
0,3,24,3,9,1240,1,3,4,3,1,2,3,44,3,2,2,2,1,2,1
1,4,12,3,0,3342,5,5,4,3,1,4,3,38,3,2,1,3,1,1,1
0,2,24,4,0,2031,1,4,2,3,1,2,3,47,3,2,3,3,1,1,1
1,4,15,4,1,1286,1,4,2,3,1,4,2,28,3,2,1,4,1,1,1
1,4,15,4,0,1539,5,3,4,2,1,4,3,44,3,2,1,2,2,2,2
1,2,36,2,9,6876,1,4,4,4,1,3,4,33,3,3,1,4,1,2,1
0,1,20,2,1,2677,1,5,4,1,1,4,1,31,3,1,2,4,1,2,1
0,4,48,2,3,3394,5,4,4,3,2,4,3,49,3,2,1,3,1,2,1
1,4,15,2,6,1597,5,4,4,3,3,3,2,24,3,2,1,3,1,2,1
1,4,24,4,5,2710,5,5,2,2,1,4,3,72,3,1,1,4,1,2,2
1,4,12,2,3,3534,1,3,3,3,1,1,1,24,3,2,2,3,1,1,1
1,4,6,4,1,936,1,3,3,2,1,4,2,33,3,2,2,3,1,2,1
1,2,24,2,3,4365,1,2,1,3,1,1,3,29,1,2,2,1,1,2,1
1,4,30,3,9,2280,5,4,2,3,1,1,3,28,3,3,2,1,1,1,1
1,4,15,4,2,1343,4,5,4,3,1,4,1,60,3,2,2,3,1,2,1
1,1,24,1,3,2950,1,5,4,3,1,2,2,28,3,2,1,3,2,1,1
1,2,18,3,9,3673,5,5,4,4,1,4,3,57,3,2,1,3,1,2,1
0,4,36,4,2,7407,1,3,4,3,3,1,4,27,3,3,2,3,1,1,1
1,1,24,1,2,3077,5,4,4,4,1,4,3,54,3,2,2,2,1,1,1
1,4,6,4,3,1107,1,5,2,3,3,2,1,30,3,2,1,3,1,2,1
1,4,10,4,0,751,1,3,4,3,1,3,2,42,1,2,2,3,1,1,1
1,1,12,4,9,6288,4,3,3,3,1,3,3,53,3,2,2,4,1,2,1
1,1,24,4,9,2549,1,1,4,3,1,2,1,46,3,1,1,4,1,2,1
0,1,12,2,2,1553,1,4,3,3,2,1,1,56,3,2,1,3,1,2,1
0,1,10,2,2,1840,5,5,2,3,1,4,3,37,3,3,1,3,1,1,2
1,4,12,2,3,3398,1,5,2,3,1,4,2,39,3,2,2,3,1,1,1
1,2,15,4,0,1216,1,3,4,3,1,4,1,32,3,1,2,2,1,1,1
1,2,36,4,4,7473,1,1,2,2,2,1,2,30,3,2,2,4,1,1,1
1,1,6,1,0,1480,2,5,2,3,2,4,2,38,3,2,1,3,1,1,1
1,4,6,4,3,1319,1,2,1,2,1,1,1,25,3,1,2,3,1,1,1
1,4,6,4,6,1413,5,4,1,2,1,2,2,26,3,2,1,3,2,2,1
1,4,10,3,3,453,1,5,4,3,1,2,1,35,2,1,3,2,2,1,1
1,4,9,2,3,1436,1,3,2,2,1,2,3,30,3,2,2,3,1,1,1
1,1,24,3,3,1296,1,3,4,2,1,1,1,30,3,2,2,3,1,1,1
0,2,27,4,0,1544,1,3,2,3,1,2,1,33,3,1,2,3,1,1,1
1,3,6,2,3,795,1,5,4,2,1,4,1,55,3,2,1,2,1,2,1
1,1,27,2,1,1866,5,3,4,3,1,2,3,23,3,2,1,2,1,1,1
0,4,30,2,0,5348,1,2,2,2,1,1,4,28,3,2,1,3,2,1,1
0,3,24,4,3,2356,3,3,2,3,1,2,4,21,3,2,1,3,1,2,1
1,4,15,4,10,4112,5,3,2,3,1,4,3,22,3,2,2,3,1,1,1
1,4,24,4,5,3021,3,3,2,3,1,2,1,27,3,2,2,3,1,1,1
0,3,21,2,3,2867,1,4,4,3,1,2,3,34,3,2,1,3,1,1,1
0,1,21,1,3,2246,2,3,3,2,1,2,2,25,3,2,1,2,1,1,2
0,2,15,4,0,1565,5,5,4,2,1,4,3,61,1,3,1,3,1,2,1
1,1,24,4,3,6404,1,3,1,3,1,4,2,44,3,2,2,3,1,2,1
1,3,48,2,3,7257,1,3,2,2,1,2,3,22,1,2,1,3,1,2,1
1,2,6,2,0,953,1,3,1,2,1,3,1,28,1,2,1,3,1,1,2
1,1,15,2,7,2034,1,3,2,3,1,2,2,25,3,2,2,4,1,2,1
1,4,30,3,3,7823,1,3,3,4,3,1,4,37,1,3,2,3,2,2,1
1,1,30,2,9,1478,4,5,4,3,1,4,3,38,3,2,1,2,1,2,1
0,3,30,2,3,3185,3,2,2,2,2,4,1,40,3,1,1,2,1,1,1
0,1,36,4,5,1954,1,3,2,3,1,4,2,38,2,2,3,2,1,2,1
0,2,24,3,0,3535,1,3,4,3,1,4,4,38,3,2,1,3,1,2,1
0,2,24,2,10,9267,1,5,2,4,1,2,4,53,3,3,2,4,2,2,1
1,3,9,1,6,742,5,5,2,2,1,3,1,40,3,1,1,2,1,1,1
1,4,24,2,5,3246,3,5,4,2,1,4,3,25,1,1,1,4,1,2,1
1,2,24,1,0,1951,3,5,3,4,1,4,4,45,3,3,2,4,1,1,1
1,1,30,4,3,14468,2,2,1,1,1,1,1,22,3,2,1,3,1,1,1
1,4,18,4,3,1455,1,3,4,3,1,3,1,37,3,2,1,2,1,1,2
1,4,48,4,9,4682,4,3,2,2,1,2,3,34,3,2,2,3,2,1,1
1,4,18,4,0,12534,1,5,1,2,1,4,2,35,3,2,1,3,1,2,1
0,2,15,4,0,2277,1,3,2,2,1,4,4,36,3,2,2,3,1,2,1
1,4,24,2,0,1116,1,2,4,3,3,2,2,37,3,2,1,2,1,1,1
0,1,12,4,1,951,1,3,4,3,1,4,3,28,3,1,1,3,1,1,1
0,4,24,4,9,2923,1,5,4,2,1,2,3,52,3,3,2,3,1,1,1
1,1,12,2,2,5110,1,3,1,3,1,3,4,53,3,3,2,2,1,1,1
1,4,24,4,3,7139,1,2,1,4,1,2,2,28,3,1,2,3,1,2,1
1,4,10,2,3,1830,1,3,4,3,2,1,1,22,3,1,2,3,1,2,1
0,1,24,2,1,3076,1,5,4,3,1,4,3,47,3,2,1,3,1,1,2
1,1,15,2,0,2685,2,2,4,3,1,4,1,44,1,2,1,2,2,1,1
1,2,12,4,0,1351,1,3,4,3,1,2,1,31,3,2,2,3,1,2,1
0,3,24,2,8,6752,1,3,2,2,1,3,2,42,3,2,1,3,1,1,1
0,1,18,2,3,4161,1,3,4,3,1,4,3,32,3,1,2,3,1,2,1
0,1,36,2,0,3562,1,3,2,1,1,3,4,39,1,3,1,3,1,2,1
0,1,36,2,3,5406,1,3,1,2,1,4,2,28,2,2,2,3,1,2,1
0,2,60,2,3,8065,5,3,4,3,1,4,3,39,3,2,1,4,1,2,1
0,2,24,2,9,4632,5,3,1,3,1,4,3,32,1,2,2,1,1,1,1
1,1,10,4,2,961,2,2,4,2,1,3,2,28,3,2,1,3,2,1,1
0,1,46,0,3,9058,1,1,4,3,1,1,3,41,2,2,1,3,1,1,1
