Creditability,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment per cent,Sex...Marital.Status,Guarantors,Duration in Current address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,4,15,2,0,7622,1,3,2,2,1,2,1,33,3,1,1,3,2,1,1
1,2,12,2,3,2113,1,2,1,3,2,1,2,24,3,2,1,3,1,1,1
1,4,36,2,3,1581,1,3,4,3,1,2,1,23,3,1,1,4,1,1,2
0,1,15,3,3,2708,1,3,1,3,3,2,2,43,3,2,1,3,1,1,1
1,4,12,4,2,1103,5,3,4,2,1,1,1,34,1,2,1,4,1,2,1
0,1,12,2,0,951,1,2,4,3,1,3,3,26,3,2,1,2,2,1,1
1,2,12,3,1,1669,1,2,2,3,1,1,3,22,3,2,1,3,1,2,1
1,1,15,2,3,1344,1,4,4,3,1,4,3,36,3,3,1,3,1,1,1
1,2,6,4,0,944,1,2,4,2,1,2,1,25,3,2,2,3,1,1,1
1,1,24,2,2,2625,5,4,2,3,1,1,3,40,1,2,1,3,2,1,1
1,4,12,2,3,2607,1,4,4,4,1,4,3,63,3,3,2,3,1,2,1
1,4,9,3,3,1530,5,4,2,2,1,3,3,35,3,2,1,3,1,2,1
1,2,29,2,0,14706,2,2,3,1,1,4,2,31,3,2,1,3,1,1,1
1,1,15,2,2,2325,2,4,4,1,1,4,3,47,3,2,1,3,2,1,1
1,2,24,2,4,1393,1,5,3,3,1,4,2,40,3,2,2,2,2,2,1
1,4,30,4,2,12369,1,5,2,3,1,4,3,42,3,2,2,3,2,2,1
0,1,15,2,2,976,5,4,4,2,3,2,2,34,1,2,2,3,1,1,1
0,1,14,2,2,1530,1,3,2,2,1,3,2,29,3,2,1,3,1,1,1
1,4,9,2,2,2335,5,5,1,3,1,2,2,36,3,1,1,3,1,2,1
1,4,10,4,3,1515,5,5,4,4,1,3,2,39,3,2,2,4,1,2,1
0,1,10,4,1,1409,5,1,3,2,1,2,1,31,3,2,2,2,1,1,1
1,4,18,4,0,3398,1,3,4,3,1,4,1,23,3,2,1,3,1,2,1
1,2,24,2,0,1955,2,2,4,3,1,1,3,32,3,2,1,3,1,2,1
1,4,12,4,3,4592,1,5,1,3,1,4,4,63,3,2,2,4,1,2,1
1,4,24,1,3,8050,1,4,4,2,1,4,4,37,1,2,2,3,2,2,1
0,2,12,4,9,1604,5,3,4,3,1,4,1,35,3,1,1,3,1,2,1
1,3,36,4,3,2252,1,5,4,4,1,2,1,32,3,2,2,3,1,1,1
0,3,30,2,9,1546,1,4,4,3,1,4,3,42,3,3,1,2,1,1,1
0,1,15,1,2,6468,1,3,3,1,1,4,3,46,2,2,1,4,1,2,1
1,4,18,2,1,3190,1,2,2,3,1,4,3,23,3,2,1,3,1,1,1
1,4,12,2,1,2602,5,5,1,2,1,4,2,46,3,2,1,3,1,1,1
1,2,48,4,3,2856,3,5,4,2,1,4,3,27,3,1,2,3,1,2,1
0,1,12,2,9,2686,1,2,2,2,1,1,1,45,3,2,2,3,1,1,1
1,4,24,4,2,1082,3,4,4,3,1,2,3,35,3,3,2,3,2,2,1
1,3,11,2,2,1360,1,4,1,3,2,4,3,38,1,3,1,2,1,1,1
1,4,18,4,3,1945,5,5,4,2,1,4,1,47,3,2,2,3,1,2,1
1,4,9,0,9,1270,1,3,2,2,1,2,3,30,3,2,1,4,1,2,1
1,4,24,4,1,2040,3,4,4,2,1,3,2,54,3,2,1,3,1,1,1
1,4,15,2,2,2219,5,5,4,3,1,3,1,56,3,3,1,3,1,1,1
1,4,12,2,0,3834,3,5,2,3,1,2,2,34,3,2,1,3,1,1,1
0,4,6,2,2,3148,1,2,1,2,1,1,1,57,3,2,2,3,1,2,1
0,1,6,0,6,1051,1,1,1,2,1,2,3,22,1,2,1,2,1,1,1
1,4,30,2,6,1502,1,3,4,3,2,3,1,36,1,1,1,3,1,2,1
1,2,10,2,3,1522,1,4,2,2,1,4,3,23,3,2,1,3,2,1,1
0,1,18,4,0,1478,1,3,3,3,1,4,1,24,3,2,2,3,1,1,1
1,2,12,1,0,2170,1,3,4,3,1,2,4,43,3,2,1,4,1,1,1
0,1,45,3,0,4559,1,4,4,3,1,2,3,46,3,2,2,4,1,1,1
1,4,10,2,0,2185,2,3,2,2,1,1,2,43,3,1,2,3,1,1,1
0,2,24,2,3,3620,1,1,4,2,1,1,1,25,3,1,1,3,1,2,1
1,2,15,2,3,1102,1,4,4,3,1,4,1,66,3,2,1,3,1,1,1
1,2,15,2,0,2302,1,1,1,2,1,1,1,23,1,2,2,4,1,2,1
1,2,24,2,1,14799,1,3,1,2,1,2,4,34,3,2,1,3,1,2,1
1,1,9,4,9,1240,1,4,4,3,1,4,3,35,3,2,1,3,1,2,1
0,2,12,2,0,2141,4,3,1,3,1,4,1,25,3,1,1,3,2,1,1
1,4,24,4,3,3419,1,5,3,3,1,4,4,39,3,2,4,3,1,2,1
1,1,7,4,3,2402,1,3,2,2,1,4,2,39,2,2,1,3,1,1,1
0,4,24,2,3,5413,3,3,3,2,1,2,1,26,2,1,1,3,1,2,1
1,1,30,3,3,1963,5,5,1,4,1,4,2,31,1,2,2,3,1,2,1
0,1,18,3,9,957,1,2,4,2,1,4,1,36,3,2,1,3,1,1,1
0,4,12,2,0,1904,1,4,4,2,1,2,2,50,3,2,2,3,1,1,1
1,1,48,2,3,6883,1,1,1,3,1,2,3,21,3,1,1,4,1,2,1
1,1,24,2,3,3621,1,4,3,2,1,2,1,36,3,2,1,3,1,2,1
0,1,36,2,2,6206,1,1,4,3,1,2,3,23,3,2,1,3,1,2,1
1,2,24,4,2,5151,5,3,2,3,1,4,2,37,3,2,4,3,1,1,1
0,1,9,2,9,917,1,4,2,4,1,2,1,41,2,2,1,2,1,1,1
1,4,18,2,0,1978,5,5,3,3,1,4,2,39,3,2,1,3,1,2,1
0,1,12,1,9,1739,1,3,4,4,1,4,3,40,3,2,1,3,2,1,1
0,2,36,2,0,11162,1,1,3,2,1,2,1,23,3,2,1,4,1,1,1
0,1,36,2,0,4282,1,4,2,2,1,3,2,23,3,2,1,3,1,1,1
0,2,18,3,0,1728,1,5,4,4,1,4,3,37,3,2,3,3,1,1,1
1,4,24,2,6,4065,1,1,1,3,1,2,1,28,3,2,1,2,1,1,1
1,2,27,4,2,1992,1,3,4,1,1,4,2,65,3,2,2,3,1,2,1
1,2,12,4,2,762,4,1,4,2,1,1,2,37,3,1,2,2,2,1,1
0,1,24,2,9,893,1,2,2,3,1,3,2,25,3,2,2,4,1,2,1
1,3,8,4,0,1055,2,5,2,2,3,4,3,47,3,2,2,3,1,1,1
0,4,12,4,1,1262,1,5,4,4,1,4,2,64,3,2,1,3,1,2,1
1,1,21,2,0,2055,1,3,4,3,1,4,2,49,3,2,2,3,1,2,1
1,4,6,2,0,1806,1,4,2,3,1,1,3,25,1,1,1,2,1,1,1
1,2,15,2,3,1345,3,2,1,2,1,2,3,23,1,2,1,2,1,1,1
1,4,12,2,3,2278,1,1,2,3,1,1,3,36,3,2,1,3,1,1,1
1,3,18,2,0,10081,1,1,1,3,1,4,2,22,3,1,2,3,1,2,1
1,1,36,2,5,4677,1,4,3,3,1,4,2,22,3,2,1,3,1,2,1
1,2,4,3,6,389,1,4,1,3,1,4,1,63,3,2,1,1,1,1,1
0,1,48,3,3,11524,5,3,2,3,1,4,3,35,1,1,2,3,1,1,1
0,1,12,1,1,5386,1,2,2,3,1,3,2,29,3,2,1,3,2,1,1
1,4,6,2,0,613,1,4,4,4,1,3,1,24,3,1,1,3,1,1,1
0,1,12,3,2,2393,3,2,1,3,1,2,1,23,3,2,2,1,1,1,1
0,4,39,4,0,5342,1,5,3,3,1,4,4,65,3,2,4,3,1,2,1
1,4,18,4,3,2779,5,2,4,3,1,2,1,43,3,2,2,2,1,2,1
1,1,24,4,0,4658,2,4,4,3,1,4,4,48,3,2,1,4,1,1,1
1,1,36,1,0,2864,3,4,1,3,1,2,3,33,1,2,1,3,1,2,1
1,4,12,2,3,2717,1,2,3,3,1,1,1,44,1,1,1,3,1,1,1
0,2,12,3,0,2963,1,3,2,4,1,3,3,41,3,2,2,4,1,2,1
1,2,15,2,3,6088,1,5,2,3,1,2,1,40,3,2,1,3,1,1,1
1,4,24,2,2,3147,5,5,2,3,1,2,2,24,3,2,1,3,1,2,1
0,4,9,2,3,1300,5,2,2,3,1,4,3,26,3,2,1,3,1,2,1
1,2,8,3,2,669,1,3,4,2,1,2,2,34,3,2,2,2,1,1,1
1,2,18,2,3,2995,1,4,2,2,1,3,1,35,3,2,1,2,1,2,1
1,2,12,2,9,609,1,3,4,3,1,4,1,28,1,1,1,1,1,2,1
1,4,42,1,2,2462,1,2,3,2,1,4,4,21,3,3,1,3,1,1,1
1,4,18,2,1,2319,1,1,1,2,1,4,1,52,3,2,1,2,1,1,2
0,3,18,4,2,1457,1,2,4,3,1,3,1,28,3,2,2,3,1,1,1
1,4,12,2,0,1108,5,3,4,3,1,4,3,28,3,2,1,3,1,2,1
1,4,36,4,0,6199,5,4,2,1,1,4,3,32,3,1,2,3,1,1,1
1,4,15,2,0,3446,1,3,2,2,1,2,3,27,3,1,1,4,1,1,1
1,1,6,2,3,717,5,3,2,3,1,3,1,34,3,2,2,3,1,1,1
0,1,18,1,3,1276,1,3,4,1,1,2,1,30,2,2,1,3,1,1,1
1,3,18,4,3,2579,3,2,2,3,1,2,3,30,3,2,2,2,1,2,1
1,4,10,4,9,1671,5,3,4,3,3,4,3,53,3,2,2,4,1,2,1
0,2,36,2,5,10266,5,4,4,2,1,4,4,66,3,3,3,4,1,2,1
1,2,24,4,0,8649,1,5,2,2,1,4,3,33,3,2,2,3,1,1,1
1,2,15,2,2,1880,1,4,2,2,1,4,2,27,3,2,1,3,1,2,1
1,4,6,4,0,841,3,3,4,3,1,4,1,60,3,1,1,3,1,2,1
0,4,30,4,3,2862,5,3,4,2,1,2,1,28,3,2,2,3,1,1,1
1,4,12,2,3,415,2,5,4,3,1,2,1,27,1,1,1,2,1,1,1
0,2,12,2,1,624,1,3,4,4,1,1,1,27,2,2,2,3,1,1,1
1,4,12,2,4,2577,5,3,3,2,1,2,3,23,3,2,1,3,1,2,1
0,4,30,1,2,2397,1,5,4,4,1,2,4,41,3,2,1,3,1,1,1
0,4,15,2,9,794,3,3,4,3,1,4,4,39,3,2,1,3,1,2,1
1,2,21,2,3,3907,1,2,4,2,1,2,3,63,3,2,1,3,1,1,1
0,4,18,2,3,2385,5,3,4,2,1,4,1,40,3,2,2,3,1,1,1
0,2,12,3,0,1284,2,3,4,2,1,1,4,35,3,3,1,2,1,1,1
1,4,18,2,2,1922,1,3,3,4,1,4,1,58,3,3,1,3,2,2,1
1,2,12,2,5,2507,5,2,2,2,1,3,1,20,3,1,1,3,1,2,1
0,4,36,1,9,1371,4,4,4,3,3,4,1,27,3,1,1,3,2,1,1
1,3,18,0,3,1597,5,2,4,2,2,2,4,31,3,2,1,3,1,2,1
1,2,54,2,1,11579,1,4,3,3,1,3,4,33,3,3,1,3,1,2,1
1,2,12,2,8,6543,1,5,1,2,1,4,2,25,1,2,1,3,1,2,1
0,4,24,2,1,1120,2,3,4,4,1,1,3,26,3,2,1,3,1,1,1
1,4,11,4,2,1504,1,5,4,3,1,2,1,30,1,1,2,3,1,2,1
1,4,6,2,5,445,1,2,4,3,1,4,2,22,3,1,1,2,1,1,1
1,4,18,4,0,1436,2,1,2,3,1,1,1,32,3,1,1,2,1,1,1
1,4,24,4,0,6761,1,3,3,2,1,4,1,24,3,1,2,3,1,1,1
1,1,30,2,2,3517,3,3,1,3,3,4,2,31,2,2,1,3,1,1,1
0,2,8,2,1,789,1,3,4,3,1,1,2,27,3,3,1,3,2,1,1
1,3,6,2,2,762,1,2,4,2,1,3,3,23,3,2,1,2,1,1,1
0,1,25,0,3,11328,1,5,1,3,1,2,3,41,1,3,1,3,2,2,1
1,4,18,2,3,5215,2,5,4,3,1,2,1,29,3,2,2,3,1,1,1
0,4,12,4,2,1402,3,4,3,2,1,4,2,36,3,2,2,3,1,2,1
1,4,12,2,1,2278,1,3,3,1,1,3,4,30,3,3,1,4,1,2,1
1,2,6,4,2,930,1,5,2,2,1,4,3,51,3,2,2,2,1,1,1
1,4,12,2,0,748,2,2,2,1,1,2,1,22,3,1,2,3,1,1,1
1,2,6,4,3,659,1,3,1,2,1,3,1,32,3,1,2,2,1,2,1
1,4,9,2,10,1863,5,3,2,3,1,4,1,35,3,2,1,3,1,2,1
1,2,6,3,2,1478,5,4,2,2,1,3,1,53,3,2,2,2,2,1,1
0,4,27,2,3,4450,1,2,2,3,1,1,1,27,3,2,1,3,1,1,1
1,4,48,1,0,9988,5,5,2,3,1,4,4,61,2,2,1,4,1,2,1
1,2,42,2,4,2671,1,2,4,3,1,2,2,28,3,2,1,2,1,2,1
1,2,12,4,1,2822,1,4,1,3,1,3,3,46,3,2,2,3,1,1,1
1,2,7,2,0,1187,1,2,4,3,1,2,1,26,3,1,1,4,1,1,1
1,4,12,2,6,1553,1,5,4,3,1,4,1,34,3,2,1,3,2,1,1
1,4,24,2,3,6614,1,1,2,3,1,4,4,29,3,3,1,2,1,1,1
0,2,18,3,9,1245,1,2,4,2,1,1,3,50,3,2,1,3,1,1,1
1,2,12,2,3,2114,1,4,1,2,1,4,4,27,3,2,2,3,1,1,1
0,3,24,2,0,3952,1,4,1,1,1,4,3,33,1,2,1,3,1,2,1
1,4,24,3,1,1114,5,3,4,3,1,1,3,31,3,3,2,3,1,2,1
1,4,18,4,3,3590,1,5,2,2,1,2,4,31,3,2,1,3,1,1,1
1,1,18,2,1,1999,5,4,4,3,1,4,2,37,3,2,1,2,2,1,1
0,1,30,1,0,2579,1,1,2,2,1,2,4,25,3,3,1,3,1,1,1
1,4,36,2,3,2921,1,5,3,3,1,4,2,67,3,2,2,1,1,2,1
1,2,30,2,0,1275,1,4,4,2,1,2,4,26,3,2,2,2,1,1,1
0,4,12,2,0,1597,1,4,4,3,1,2,4,32,3,3,1,3,1,1,1
1,4,24,4,3,6306,5,1,2,3,1,2,3,23,3,2,2,3,1,1,1
0,2,30,2,5,4152,5,3,2,3,1,2,1,46,1,2,2,3,2,2,1
0,2,24,2,3,1848,3,3,4,1,1,4,2,38,3,2,2,2,2,1,1
1,4,10,4,2,2235,2,2,3,2,1,2,1,25,3,1,2,3,1,1,1
1,4,18,4,1,3097,1,3,2,3,1,1,1,31,3,2,4,3,1,2,1
1,3,12,2,1,2333,1,5,4,3,1,3,3,48,3,2,2,3,2,1,1
0,1,24,2,5,4718,1,1,2,2,1,1,1,23,3,1,1,3,1,1,1
0,2,48,4,8,4678,1,5,4,2,1,4,3,44,3,1,3,3,1,1,1
0,2,36,1,9,5415,1,4,2,2,1,2,3,27,1,2,1,3,1,1,1
0,4,24,2,3,2008,1,3,3,2,1,3,2,35,3,2,1,3,1,1,1
1,1,12,2,0,2329,2,3,4,2,1,1,3,29,3,2,1,4,1,2,1
1,2,48,3,3,3563,1,5,3,2,1,4,3,26,3,2,2,4,1,1,1
1,4,24,4,2,5310,5,3,2,2,1,2,3,31,3,2,3,3,1,2,1
1,4,15,2,0,2579,1,4,4,3,1,3,1,35,3,2,1,3,1,2,2
1,2,12,4,1,2195,1,2,3,2,1,2,1,28,3,3,1,3,2,1,1
1,1,30,4,2,11464,2,5,3,3,1,2,4,59,3,3,2,3,2,2,1
1,2,12,2,3,2402,1,3,2,2,1,3,3,47,3,2,1,4,1,2,1
0,2,21,1,2,2952,4,4,2,3,1,2,1,25,3,2,1,3,1,1,1
0,2,18,4,2,1840,1,3,4,3,1,2,1,40,1,1,2,2,1,1,1
0,2,48,2,0,4112,1,5,2,2,1,4,2,25,3,2,1,3,1,1,1
1,4,18,4,0,2745,2,4,1,3,1,2,3,46,3,2,1,3,1,2,1
1,4,45,2,0,2439,5,5,4,3,1,4,4,34,2,3,1,3,1,1,1
1,4,24,4,6,3590,1,3,3,3,1,4,1,23,3,2,1,2,1,1,1
1,4,18,2,0,950,1,2,4,4,1,3,2,31,3,1,1,3,2,2,1
1,1,12,4,1,2405,2,5,2,3,1,4,1,52,3,2,2,3,2,1,1
1,4,12,4,2,2170,4,5,4,2,1,4,4,48,3,2,1,2,1,1,1
1,4,6,4,3,2328,3,4,3,3,1,1,4,49,3,3,1,3,1,2,1
1,2,12,3,3,1858,3,3,1,3,3,1,1,22,3,1,1,3,1,1,1
1,2,15,4,3,10449,1,4,2,3,1,1,4,38,1,3,1,4,1,2,1
0,1,24,2,2,2359,2,2,3,3,1,2,2,24,3,2,1,3,1,1,1
1,4,9,4,2,2629,1,5,1,3,1,4,1,35,3,1,1,3,1,2,1
0,3,12,2,3,3342,1,3,3,1,1,2,3,44,3,1,1,3,2,1,1
1,4,18,1,1,6883,2,1,1,3,1,2,1,27,1,1,1,2,1,1,1
1,2,24,1,0,2978,1,1,1,3,1,1,3,24,3,2,1,3,1,1,1
0,2,36,0,2,3398,1,4,2,2,2,2,1,22,1,2,1,4,1,2,1
1,2,6,2,0,670,1,3,4,3,2,2,1,28,3,2,1,3,1,1,1
0,1,4,1,0,3083,1,2,1,3,1,4,1,27,3,2,1,3,1,1,2
0,2,48,2,3,6409,1,1,4,3,1,4,4,40,3,2,1,3,1,1,1
1,2,6,1,2,639,1,3,3,2,3,2,2,27,3,2,1,3,1,1,1
1,1,30,2,1,9628,1,2,2,1,1,2,4,64,1,3,1,4,2,2,1
1,2,15,4,9,3358,1,4,4,3,1,4,2,23,3,2,2,3,1,1,1
1,4,24,2,2,2659,3,3,4,2,1,4,2,26,3,2,1,3,1,1,1
1,2,48,3,0,6614,5,4,1,3,1,4,3,36,3,2,2,3,2,2,1
1,4,36,2,3,1410,5,3,4,3,1,2,3,33,3,2,1,2,1,1,1
1,1,18,0,9,3378,1,2,2,3,1,4,3,27,3,2,1,3,1,1,1
1,4,18,2,1,1971,5,5,1,2,1,2,1,30,1,2,1,2,2,1,1
1,3,18,4,1,802,1,5,4,3,1,2,2,30,3,1,1,3,1,2,1
1,2,40,2,3,6795,1,3,4,3,1,3,3,36,1,2,2,3,1,2,1
1,4,12,3,3,1296,4,2,2,2,1,1,2,28,1,2,3,3,1,2,1
0,1,6,4,9,777,1,4,4,2,1,2,2,32,3,2,2,2,1,2,1
1,1,48,2,2,2135,3,5,4,3,1,4,2,32,3,3,1,2,1,2,1
0,1,12,4,2,1237,5,2,4,2,1,4,1,25,3,1,1,3,1,1,1
1,4,24,4,2,1512,5,5,4,3,1,4,4,37,3,3,2,2,2,2,1
1,4,18,2,1,7905,1,3,1,3,1,2,3,22,3,2,1,3,1,1,2
1,2,30,2,2,2535,2,3,4,4,1,4,1,26,3,1,1,3,1,2,1
0,4,15,1,3,1343,1,2,2,2,1,1,3,21,3,1,1,3,1,1,1
1,1,12,2,1,2351,3,5,4,3,1,4,2,51,3,2,1,4,1,1,1
0,4,21,2,2,2333,1,3,1,3,1,1,2,28,3,1,1,3,1,1,1
0,4,12,2,3,1749,3,4,2,3,1,4,4,26,3,2,2,3,1,2,1
1,2,15,2,2,3955,1,4,2,3,1,1,1,26,3,1,1,3,1,1,1
1,2,12,2,1,1165,1,5,4,2,3,4,4,74,3,3,1,3,1,1,1
0,2,36,1,2,7849,5,5,4,3,1,2,4,25,3,2,1,3,1,1,1
1,4,24,2,0,7398,5,3,1,1,1,4,3,24,3,2,1,3,2,2,1
1,2,24,2,1,5382,2,5,2,3,1,3,3,30,3,3,1,3,1,1,1
1,4,6,2,3,1295,1,3,2,2,1,2,1,46,3,2,1,3,1,1,1
0,1,12,4,6,614,1,4,4,3,1,1,1,33,3,2,1,3,1,1,1
1,1,24,4,9,2679,1,3,2,3,1,4,3,45,1,3,2,3,1,1,1
1,2,21,3,1,1827,1,1,4,2,2,1,4,29,3,2,1,4,1,1,1
1,1,36,2,4,1926,1,3,4,3,1,2,1,39,3,2,2,3,1,1,1
0,1,42,2,10,3995,1,2,2,3,1,2,4,21,1,3,1,2,1,1,1
0,4,24,2,10,4774,1,1,4,1,1,3,4,51,1,2,1,4,1,2,1
1,1,48,2,1,3917,3,4,4,3,1,4,2,30,3,2,2,3,1,2,1
1,2,24,4,3,2435,1,3,4,1,1,3,4,36,3,2,1,2,1,2,1
1,2,30,2,3,3918,1,3,3,3,1,2,3,29,3,2,1,2,1,2,1
0,2,36,1,2,5210,2,2,2,2,1,2,4,34,3,2,2,3,1,1,1
1,3,12,4,2,1743,1,3,4,3,1,2,1,32,3,2,1,3,1,1,1
1,4,24,2,3,2747,4,5,2,3,1,1,1,21,2,1,1,4,1,2,1
1,4,18,2,6,3433,1,5,1,2,1,4,3,37,2,2,1,3,1,1,1
1,4,24,4,3,3498,5,5,4,3,1,4,4,53,3,3,1,2,1,1,1
1,4,27,3,2,3075,1,3,3,4,1,4,2,45,2,2,2,3,2,1,1
0,1,36,4,9,3061,1,4,2,2,3,4,2,24,3,2,1,3,1,1,1
1,4,10,2,10,2629,1,3,3,3,1,3,2,28,3,2,1,3,1,2,1
1,4,24,0,0,5742,1,4,2,2,1,4,4,45,3,2,1,3,1,2,1
1,1,6,4,2,1514,1,5,4,2,1,3,2,52,3,2,2,2,1,1,1
1,1,6,4,6,497,1,4,4,3,1,1,2,25,3,2,2,2,1,1,1
1,2,48,2,0,14766,1,3,4,3,1,4,1,26,3,1,1,4,1,1,1
1,4,24,4,3,2244,5,5,3,3,1,4,2,29,3,1,2,3,2,2,1
1,1,30,2,0,2503,4,3,3,3,3,2,3,68,3,2,1,3,1,2,1
1,4,12,4,3,2761,5,4,3,3,1,4,3,54,3,2,1,3,1,2,1
1,4,42,1,4,9418,5,3,1,3,1,3,3,21,3,1,1,3,1,1,1
1,4,9,2,3,937,1,1,4,3,1,4,1,37,1,2,2,2,1,1,1
0,1,24,2,3,1382,1,2,2,2,1,3,1,30,1,1,1,3,1,1,1
1,2,36,4,3,4217,2,4,4,3,1,2,3,33,3,2,1,3,1,1,1
0,4,48,4,0,7192,5,3,4,3,1,2,2,34,1,2,2,4,2,2,1
1,3,24,2,0,2295,1,3,2,4,2,2,1,25,3,2,1,3,1,1,1
1,4,12,4,0,2147,1,5,2,2,1,2,3,33,3,2,2,4,1,1,1
1,4,48,2,9,6680,1,5,1,2,1,4,3,29,3,2,2,3,1,2,1
0,1,12,2,3,2249,1,1,4,3,1,3,1,39,3,2,1,3,1,1,1
1,4,42,4,0,7260,5,5,2,2,1,4,3,46,3,2,2,3,1,2,1
1,1,18,2,0,6761,2,5,4,4,1,4,3,26,3,2,1,3,1,2,1
1,1,21,2,1,1572,1,3,3,2,1,4,3,38,3,2,1,3,1,1,1
1,4,21,2,1,2424,3,5,1,2,1,4,4,38,3,2,1,3,1,2,1
0,1,18,3,0,1583,1,3,4,3,1,2,2,29,1,2,2,4,1,1,1
1,3,18,2,9,1884,1,2,3,3,3,2,1,23,3,1,1,3,1,1,1
1,3,4,4,0,975,1,3,2,3,1,3,1,38,3,1,1,3,2,2,1
1,4,9,4,0,3356,5,5,1,2,1,4,3,59,3,3,1,3,1,2,1
0,3,48,4,3,1934,1,5,3,3,1,4,3,55,3,2,2,3,1,1,1
1,4,24,3,0,4582,5,5,4,2,3,4,3,64,3,2,3,2,1,1,1
0,2,30,4,3,3574,1,5,4,1,1,4,2,61,1,1,3,3,1,1,1
1,3,6,2,3,795,1,3,1,2,1,2,1,39,3,2,2,3,2,1,1
0,3,24,4,1,1602,5,4,4,3,1,4,3,40,3,1,1,3,1,1,1
0,1,24,4,3,1154,3,5,4,3,1,4,3,47,1,2,2,3,1,2,1
0,4,15,2,0,1549,5,5,4,3,1,2,1,50,3,2,1,3,1,1,1
0,1,18,2,2,1070,1,5,4,3,1,1,1,34,3,2,1,4,1,2,1
1,1,21,2,2,7602,2,3,2,3,2,1,3,28,3,2,1,3,1,1,1
