Creditability,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment per cent,Sex...Marital.Status,Guarantors,Duration in Current address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,2,6,4,0,1424,4,5,1,3,1,4,2,38,3,2,2,2,1,1,1
1,4,6,2,1,672,1,4,1,3,1,1,1,40,3,2,1,2,1,1,1
1,2,12,4,0,5011,1,3,1,3,1,2,1,45,3,1,1,3,1,2,1
1,4,6,0,0,657,1,4,2,3,1,4,1,29,3,1,1,3,2,2,1
0,2,18,1,0,2055,5,4,4,2,1,3,4,34,3,2,1,3,1,1,1
1,4,12,0,1,712,5,1,4,3,1,4,3,20,3,2,1,1,1,1,1
1,3,48,2,2,3565,5,5,2,2,2,4,2,24,3,1,1,2,1,1,1
1,1,24,2,3,11124,1,3,2,3,1,2,4,29,3,2,1,3,2,1,1
0,4,6,2,2,521,1,5,4,4,1,4,1,45,3,2,1,3,1,1,1
0,2,24,1,0,8894,1,2,1,2,2,2,1,25,3,2,1,3,1,1,1
1,4,30,2,3,7480,1,1,1,2,1,2,3,36,3,2,2,4,1,2,1
1,3,12,4,1,1221,5,3,4,3,1,1,2,26,3,2,2,3,1,1,2
0,4,10,2,2,4792,1,2,2,3,1,2,1,26,3,2,1,3,1,2,1
1,4,36,4,0,3660,1,4,4,2,1,2,3,26,3,2,1,3,1,2,1
0,4,12,2,9,1919,4,3,4,4,1,2,3,24,3,2,1,4,2,2,1
1,3,9,4,0,727,5,3,2,3,1,4,1,35,3,2,1,2,1,2,1
1,2,9,4,3,1565,1,3,4,2,1,3,1,35,1,2,2,4,1,2,1
1,4,24,4,3,4597,1,5,4,3,1,2,1,28,3,1,2,4,1,1,1
1,4,9,4,9,1546,5,4,4,3,1,2,2,26,3,2,2,2,1,1,1
0,4,24,2,2,3496,1,4,4,4,1,1,3,33,1,2,1,3,1,2,1
1,4,12,2,0,2685,2,5,4,3,1,4,3,25,3,2,1,3,1,2,1
1,3,6,3,2,635,1,4,4,3,1,4,1,37,3,2,1,3,1,1,1
0,4,9,2,1,2254,2,3,4,2,1,2,3,44,3,2,2,4,1,2,1
1,2,36,2,5,3363,3,5,4,3,1,4,3,34,1,2,1,3,1,2,1
1,2,12,2,3,1522,1,3,4,2,1,4,3,26,3,2,1,2,1,1,1
1,4,12,4,0,7408,3,2,1,2,1,3,3,30,3,2,2,3,1,1,1
1,4,6,2,0,652,1,3,2,4,1,3,1,32,3,1,1,3,1,1,1
0,4,48,2,0,5110,3,3,3,2,1,4,3,27,3,2,1,2,1,1,1
1,2,10,4,1,2243,1,2,2,2,2,2,1,65,3,2,1,3,1,2,1
1,4,30,3,2,12789,4,3,2,3,3,4,4,62,3,3,1,3,1,2,1
1,4,24,1,0,2670,5,3,2,3,1,3,2,39,3,3,1,2,1,2,1
1,4,24,4,3,2923,5,3,4,2,3,4,4,38,3,2,2,3,1,2,1
0,4,36,2,9,1940,5,3,4,3,1,2,3,44,3,2,1,3,1,2,1
1,4,24,3,3,2764,5,4,4,2,1,2,3,39,2,2,2,3,1,2,1
0,1,42,2,6,3595,1,3,2,2,1,1,4,22,1,2,1,3,1,1,1
0,2,36,2,3,9737,1,3,1,4,1,4,2,26,3,3,2,3,2,2,1
1,4,24,2,2,4210,1,3,4,3,1,2,2,63,3,2,1,4,1,1,1
1,2,30,4,9,3017,1,2,3,3,3,2,1,36,3,2,2,4,1,1,1
1,4,18,2,9,2149,4,3,1,3,2,2,1,57,3,2,1,4,1,2,1
1,2,24,2,1,6368,2,4,3,2,1,2,4,34,3,2,1,3,1,1,1
1,4,6,4,3,1548,1,5,4,2,1,2,2,30,3,2,1,3,1,1,1
1,3,9,2,2,1103,1,2,4,2,1,1,3,23,1,2,1,3,1,1,1
0,2,30,0,3,6570,4,2,1,2,1,4,3,32,3,2,1,3,1,2,1
1,1,12,1,3,1373,1,3,4,2,1,2,1,20,3,1,1,2,1,1,1
1,4,24,2,3,3065,1,3,4,3,1,4,3,45,3,2,1,3,1,1,1
1,4,18,2,1,8249,1,1,3,2,1,2,2,24,3,2,1,3,1,1,1
0,1,24,3,0,1245,2,3,4,3,1,3,1,25,3,1,1,2,1,1,1
1,4,24,3,9,2659,1,5,4,2,1,4,4,45,2,2,2,3,1,2,1
1,4,24,4,3,1068,1,5,4,4,1,2,4,40,3,2,1,3,1,2,1
0,1,24,2,2,14102,1,5,1,3,1,4,3,36,3,2,2,3,1,1,1
1,2,20,3,2,2269,3,3,4,3,1,3,1,24,3,2,1,3,1,2,1
0,2,60,2,6,11823,5,3,4,2,1,2,3,30,3,2,1,3,1,2,1
0,2,30,2,3,1583,4,4,4,3,1,4,4,48,1,3,1,3,1,2,1
0,1,6,2,0,354,2,4,4,2,1,4,3,20,3,2,1,1,1,1,2
1,2,36,2,2,3430,1,3,4,2,1,4,2,27,3,1,1,4,1,2,1
1,2,36,4,0,1262,2,5,3,2,1,4,2,43,2,2,1,1,2,1,1
0,2,12,4,0,1339,5,5,4,1,1,4,3,61,3,2,1,4,1,2,1
1,4,21,2,3,1262,1,5,4,3,1,4,2,56,3,1,1,3,1,1,1
1,4,12,4,0,2144,5,5,2,2,1,4,3,24,3,2,1,3,1,2,1
1,2,12,2,3,1959,1,1,1,2,1,4,2,28,3,2,1,2,1,1,1
1,4,12,2,2,6358,3,3,3,3,1,3,3,41,2,3,1,3,1,2,1
1,1,15,2,3,7925,1,3,1,3,1,2,4,62,3,3,1,2,1,2,1
1,4,12,2,2,944,1,3,4,3,1,2,1,29,3,2,1,3,2,2,1
1,1,18,4,0,886,1,5,4,3,1,4,3,24,3,3,1,2,2,1,1
1,2,24,4,1,6188,5,2,2,3,1,3,3,48,3,2,2,3,2,1,1
1,2,9,2,0,1519,1,3,3,3,1,2,3,60,2,2,1,3,1,2,1
0,2,48,2,9,7326,5,2,4,4,1,2,3,42,3,2,1,4,1,2,1
0,4,60,0,3,9567,1,3,2,1,1,3,3,42,3,1,1,3,1,2,1
1,2,24,2,2,1951,5,4,4,3,1,4,3,53,1,2,1,3,1,2,1
1,1,18,4,1,2399,5,5,4,3,1,4,4,47,3,2,2,4,2,1,1
1,4,12,2,1,4968,5,2,1,3,1,2,3,40,1,2,2,3,1,1,1
0,1,12,2,2,937,2,3,4,2,1,4,1,29,3,2,1,3,1,1,1
1,1,11,2,1,5302,1,3,1,3,1,2,4,36,3,2,1,3,2,2,1
1,4,15,2,9,1594,4,4,3,3,1,4,4,65,3,3,1,3,1,2,1
0,4,30,2,9,2097,1,2,3,2,1,1,3,40,2,3,1,4,1,2,1
1,3,18,2,10,2146,1,2,2,3,1,2,2,22,3,2,2,3,2,1,1
1,2,9,2,1,1295,1,5,3,2,1,4,2,36,3,1,1,3,1,2,1
0,1,48,4,1,14556,5,4,3,3,1,4,4,25,3,3,1,4,1,2,1
0,1,18,2,0,4755,5,2,1,3,1,4,4,28,3,2,1,3,1,1,1
1,4,9,2,0,1344,1,1,3,3,1,1,1,29,3,1,2,3,1,1,1
1,2,18,2,2,1744,3,2,3,1,1,2,1,21,3,2,1,3,1,1,1
0,2,48,2,8,6712,3,5,3,3,1,4,2,36,1,2,2,3,1,2,1
0,2,18,3,0,729,1,5,4,3,1,1,3,28,3,1,1,2,1,1,1
1,4,18,4,2,5784,5,5,4,3,1,4,4,74,3,3,1,3,2,1,1
1,4,18,4,10,8333,1,5,2,3,1,4,3,60,3,2,2,4,1,2,1
1,3,18,4,2,1216,1,4,4,3,1,4,2,34,3,3,2,3,1,2,1
1,4,6,3,0,2923,1,2,3,3,1,4,4,32,3,2,2,4,1,2,1
1,1,47,0,0,2406,5,5,4,2,1,4,4,39,3,3,1,3,2,1,1
1,1,19,2,2,8129,5,3,2,4,1,4,2,50,3,2,1,3,2,1,1
1,2,24,4,3,6147,2,3,1,2,1,2,1,26,3,1,1,3,1,2,1
1,4,36,0,1,2610,5,3,3,3,1,1,2,24,1,2,1,3,1,2,1
1,4,15,2,3,929,5,5,4,3,1,3,2,51,1,2,1,3,1,1,1
1,4,24,2,2,3602,1,4,4,3,3,2,1,27,1,2,1,3,1,1,1
1,3,21,4,3,5601,1,4,3,2,1,4,1,33,3,1,1,3,1,1,1
1,4,12,2,3,588,2,3,4,4,1,3,1,30,3,2,1,3,1,2,1
1,4,18,2,3,3962,1,5,3,3,1,1,1,63,3,2,1,3,2,1,1
